Time,ID, Address, FType,X,Y,Z,GWDist,Data Rate, Tx Power, Tx,CTx,UCTx, Rx,CRx,UCRx, HD-CUL,HD-UUL, TXdl,Rxdl, Rx1, Rx2, Rx1_s, Rx2_s, Rx1_dc, Rx2_dc, MaxOT, OT
3600,118,0000001|0000000000000000001110010,4,133.11,-295.526,1,317.803,2,14,9,9,0,8,8,0,0,0,5,4,0,5,0,4,0,0
3600,119,0000001|0000000000000000001110011,4,463.851,-34.8679,1,216.676,3,14,9,9,0,7,7,0,0,0,3,2,2,1,1,1,0,0
3600,120,0000001|0000000000000000001110100,4,-302.697,-146.551,1,155.739,5,14,7,7,0,3,3,0,0,0,2,1,2,0,1,0,0,0
3600,121,0000001|0000000000000000001110101,4,381.272,327.234,1,352.583,1,14,17,17,0,14,14,0,2,0,3,2,0,3,0,2,0,0
3600,122,0000001|0000000000000000001110110,4,124.351,-80.3346,1,149.136,4,14,10,10,0,8,8,0,1,0,3,0,3,0,0,0,0,0
3600,123,0000001|0000000000000000001110111,4,30.14,-116.043,1,248.605,4,14,11,11,0,10,10,0,1,0,4,1,4,0,1,0,0,0
3600,124,0000001|0000000000000000001111000,4,183.922,-52.5942,1,84.4552,5,14,11,11,0,10,10,0,0,0,4,0,4,0,0,0,0,0
3600,125,0000001|0000000000000000001111001,4,178.34,194.36,1,186.819,3,14,8,8,0,7,7,0,0,0,5,2,3,2,0,2,0,0
3600,126,0000001|0000000000000000001111010,4,338.687,-282.879,1,296.456,2,14,11,11,0,9,9,0,1,0,5,3,0,5,0,3,0,0
3600,127,0000001|0000000000000000001111011,4,11.3655,11.0149,1,238.889,3,14,8,8,0,7,7,0,0,0,7,3,4,3,1,2,0,0
3600,128,0000001|0000000000000000001111100,4,484.345,363.369,1,432.383,1,14,14,14,0,13,13,0,1,0,6,4,0,6,0,4,0,0
3600,129,0000001|0000000000000000001111101,4,161.706,117.093,1,146.653,5,14,13,13,0,13,13,0,0,0,3,1,3,0,1,0,0,0
3600,130,0000001|0000000000000000001111110,4,-470.905,-447.649,1,499.188,1,14,13,13,0,7,7,0,1,0,4,3,0,4,0,3,0,0
3600,131,0000001|0000000000000000001111111,4,-61.7684,126.531,1,138.058,5,14,13,13,0,12,12,0,1,0,6,4,6,0,4,0,0,0
3600,132,0000001|0000000000000000010000000,4,-253.272,75.7233,1,75.7956,5,14,12,12,0,11,11,0,0,0,5,2,5,0,2,0,0,0
3600,133,0000001|0000000000000000010000001,4,193.045,0.800744,1,56.9628,5,14,8,8,0,8,8,0,0,0,2,1,2,0,1,0,0,0
3600,134,0000001|0000000000000000010000010,4,375.944,-217.616,1,251.434,3,14,8,8,0,6,6,0,0,0,4,3,2,2,1,2,0,0
3600,135,0000001|0000000000000000010000011,4,-354.475,-240.306,1,262.035,2,14,10,10,0,6,6,0,2,0,2,1,0,2,0,1,0,0
3600,136,0000001|0000000000000000010000100,4,193.263,476.323,1,297.612,0,14,6,6,0,5,5,0,1,0,2,2,0,2,0,2,0,0
3600,137,0000001|0000000000000000010000101,4,-172.698,287.245,1,176.67,4,14,11,11,0,9,9,0,0,0,5,2,5,0,2,0,0,0
3600,138,0000001|0000000000000000010000110,4,334.676,-493.417,1,500.631,0,14,12,12,0,9,9,0,1,0,4,4,0,4,0,4,0,0
3600,139,0000001|0000000000000000010000111,4,-374.229,-134.571,1,183.146,5,14,14,14,0,8,8,0,0,0,3,1,3,0,1,0,0,0
3600,140,0000001|0000000000000000010001000,4,-495.984,117.111,1,272.439,2,14,10,10,0,9,9,0,0,0,4,3,0,4,0,3,0,0
3600,141,0000001|0000000000000000010001001,4,127.171,-80.4151,1,146.812,5,14,15,15,0,14,14,0,0,0,8,3,8,0,3,0,0,0
3600,142,0000001|0000000000000000010001010,4,409.011,277.635,1,319.947,2,14,12,12,0,11,11,0,1,0,4,3,0,4,0,3,0,0
3600,143,0000001|0000000000000000010001011,4,459.723,-349.816,1,407.867,2,14,10,10,0,6,6,0,2,0,3,3,0,3,0,3,0,0
3600,144,0000001|0000000000000000010001100,4,-47.5869,449.489,1,205.087,4,14,15,15,0,12,12,0,2,0,6,2,6,0,2,0,0,0
3600,145,0000001|0000000000000000010001101,4,-494.208,-328.989,1,409.721,0,14,9,9,0,4,4,0,3,0,3,3,0,3,0,3,0,0
3600,146,0000001|0000000000000000010001110,4,-165.432,343.713,1,190.132,2,14,12,12,0,11,11,0,1,0,3,3,0,3,0,3,0,0
3600,147,0000001|0000000000000000010001111,4,384.087,-399.464,1,421.368,0,14,8,8,0,6,6,0,2,0,3,2,0,3,0,2,0,0
3600,148,0000001|0000000000000000010010000,4,371.064,-411.183,1,428.636,0,14,7,7,0,5,5,0,0,0,3,3,0,3,0,3,0,0
3600,149,0000001|0000000000000000010010001,4,365.957,-247.83,1,273.616,0,14,8,8,0,4,4,0,2,0,0,0,0,0,0,0,0,0
3600,150,0000001|0000000000000000010010010,4,-154.984,300.932,1,163.139,3,14,13,13,0,9,9,0,1,0,8,6,5,3,3,3,0,0
3600,151,0000001|0000000000000000010010011,4,-323.877,114.023,1,135.865,5,14,15,15,0,15,15,0,0,0,8,3,8,0,3,0,0,0
